"date","geography","geography code","Economic Activity: All usual residents aged 16 to 74; measures: Value","Economic Activity: Economically active; measures: Value","Economic Activity: Economically active: In employment; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically Inactive; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value","Economic Activity: Unemployed: Age 16 to 24; measures: Value","Economic Activity: Unemployed: Age 50 to 74; measures: Value","Economic Activity: Unemployed: Never worked; measures: Value","Economic Activity: Long-term unemployed; measures: Value"
"2011","Southwark","E09000028",224551,163859,139286,22225,94675,22386,13484,11089,60692,12940,22256,8438,9653,7405,2703,2336,2742,5447
"2011","Tower Hamlets","E09000030",196552,137233,113219,18852,78031,16336,13259,10755,59319,9262,19407,13809,8893,7948,3446,1683,3442,4986
"2011","Wandsworth","E09000032",243533,189789,172468,18968,123965,29535,9311,8010,53744,15140,14599,10424,7027,6554,1825,1585,1534,3589
"2011","Westminster","E09000033",175505,120418,107531,12606,72899,22026,7941,4946,55087,12010,17835,9521,8492,7229,1356,1348,1621,3118
"2011","Barking and Dagenham","E09000002",127568,86404,71519,15608,44490,11421,9367,5518,41164,10995,9485,9476,6459,4749,2328,1305,2050,3989
"2011","Barnet","E09000003",258443,184483,163942,30478,93174,40290,11476,9065,73960,22967,21112,14277,7885,7719,2460,2024,2177,4427
"2011","Bexley","E09000004",165914,118864,106286,23072,66838,16376,7245,5333,47050,21839,9177,7696,4943,3395,2055,1346,1171,2846
"2011","Brent","E09000005",233726,163991,139478,25702,83772,30004,13535,10978,69735,18619,19919,13035,9119,9043,2691,2357,3161,5021
"2011","Bromley","E09000006",222539,161282,147108,29012,91506,26590,8668,5506,61257,29656,10635,10614,6057,4295,2164,1811,1179,3521
"2011","Croydon","E09000008",263048,190308,165753,33112,105621,27020,14512,10043,72740,26079,16641,13265,9272,7483,3563,2527,2643,5805
"2011","Ealing","E09000009",252764,180615,157500,25882,100465,31153,13158,9957,72149,20905,18771,14552,9134,8787,2732,2257,3013,5100
"2011","Enfield","E09000010",224024,153334,131601,29134,77326,25141,13192,8541,70690,22062,17187,13464,9242,8735,3168,2082,3031,5262
"2011","Greenwich","E09000011",186722,132073,110846,20697,71844,18305,11518,9709,54649,15695,13957,9577,8621,6799,2714,1676,2518,4507
"2011","Harrow","E09000015",174751,123307,109034,21423,65492,22119,7854,6419,51444,18189,13417,9580,5105,5153,1688,1527,1620,2938
"2011","Havering","E09000016",171128,121642,109446,23479,67989,17978,7627,4569,49486,24404,7944,8374,5407,3357,2291,1446,1149,3093
"2011","Hillingdon","E09000017",199926,141542,123188,23706,80835,18647,8693,9661,58384,20310,16788,10311,5886,5089,2036,1574,1653,3499
"2011","Hounslow","E09000018",190157,137867,120742,20588,79763,20391,8815,8310,52290,15843,12769,11167,6502,6009,2064,1522,1761,3316
"2011","Kingston upon Thames","E09000021",119673,87348,77126,13588,49530,14008,3850,6372,32325,11281,10305,5616,2664,2459,879,804,526,1459
"2011","Merton","E09000024",149598,112038,100904,16484,65877,18543,6072,5062,37560,12903,9150,7912,3741,3854,1257,1143,1043,2313
"2011","Redbridge","E09000026",199544,137776,119012,23948,71627,23437,10590,8174,61768,19026,16199,13137,6548,6858,2475,1734,2467,4119
"2011","Richmond upon Thames","E09000027",137779,104090,96185,14207,61511,20467,4153,3752,33689,13794,7383,6979,2802,2731,810,998,450,1560
"2011","Sutton","E09000029",138710,103995,94432,18502,60111,15819,5429,4134,34715,15461,6454,6238,3904,2658,1378,1035,759,2155
