x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
9.110098,11.756455,2021,E07000118,Chorley,117733,2204,653,1773,112588,515,96370,59510,57244,2266,36860
12.316995,10.065589,2021,E07000119,Fylde,81375,1173,331,1158,78332,381,69251,37339,35718,1621,31912
11.82712,9.541788,2021,E07000120,Hyndburn,82237,12401,224,1091,67984,537,65631,37843,35627,2216,27788
6.032755,12.513287,2021,E07000121,Lancaster,142939,5155,1215,2204,133063,1302,119638,65780,62399,3381,53858
11.232657,9.495029,2021,E07000122,Pendle,95758,25573,244,1488,67577,876,75224,42012,39625,2387,33212
5.071615,10.397686,2021,E07000123,Preston,147834,29815,3489,4367,107321,2842,118670,71191,66634,4557,47479
14.322563,8.677292,2021,E07000124,Ribble Valley,61565,1265,125,736,59256,183,51465,31251,30385,866,20214
13.697599,8.796752,2021,E07000125,Rossendale,70868,3876,172,1043,65510,267,57301,34680,33118,1562,22621
9.464054,11.575047,2021,E07000126,South Ribble,111035,2307,539,1908,105919,362,91498,56754,54709,2045,34744
8.650298,12.375471,2021,E07000127,West Lancashire,117429,1232,388,1547,113795,467,98334,56523,53547,2976,41811
9.406151,12.274637,2021,E07000128,Wyre,111946,1109,273,1135,109139,290,94352,50307,47835,2472,44045
10.491469,10.163154,2021,E07000129,Blaby,102924,8497,1594,2765,88753,1315,83666,53511,51446,2065,30155
3.2969801,10.812421,2021,E07000130,Charnwood,183970,22853,2840,4660,151459,2158,153100,89169,84799,4370,63931
10.945973,10.446549,2021,E07000131,Harborough,97623,5298,699,2003,88851,772,80427,50315,48770,1545,30112
9.276123,11.593431,2021,E07000132,Hinckley and Bosworth,113641,3147,692,1990,107180,632,93916,57944,55885,2059,35972
14.634596,8.573268,2021,E07000133,Melton,51752,599,192,659,50142,160,42948,26369,25468,901,16579
10.37954,11.476211,2021,E07000134,North West Leicestershire,104707,1543,642,1592,100449,481,86165,54001,51961,2040,32164
14.250916,8.66435,2021,E07000135,Oadby and Wigston,57747,16131,1254,1873,36592,1897,47210,27441,25989,1452,19769
13.767152,8.838378,2021,E07000136,Boston,70505,1443,467,1015,66733,847,57584,35260,33631,1629,22324
5.813766,12.578546,2021,E07000137,East Lindsey,142295,1134,292,1484,139100,285,121420,59088,55579,3509,62332
10.161438,10.978515,2021,E07000138,Lincoln,103814,3347,1466,2068,95665,1268,87064,50590,46715,3875,36474
8.956283,11.886407,2021,E07000139,North Kesteven,118072,1160,416,1368,114729,399,98017,58978,56894,2084,39039
11.506048,10.849781,2021,E07000140,South Holland,95122,1176,517,1225,91623,581,78998,47209,45234,1975,31789
6.4811993,12.362135,2021,E07000141,South Kesteven,143405,2529,875,1951,137421,629,118011,71185,68195,2990,46826
11.730536,11.193563,2021,E07000142,West Lindsey,95153,1136,333,1081,92261,342,79120,44159,42138,2021,34961
6.4925656,12.459561,2021,E07000143,Breckland,141477,1340,820,2051,136457,809,117855,68440,65638,2802,49415
7.101859,12.354077,2021,E07000144,Broadland,131723,1831,684,1842,126869,497,110505,64827,62589,2238,45678
10.530562,11.04658,2021,E07000145,Great Yarmouth,99750,1936,1104,1575,94361,774,82719,44475,41139,3336,38244
